obsdate,freq,flux,err,rms
0.247909895833,5.5,90,27,31
0.0291166666667,9,105,1e-30,45
0.0689025462963,9,184,1e-30,41
0.108688425926,9,-7,0,71
0.148474305556,9,158,1e-30,34
0.188260185185,9,140,1e-30,34
0.228046064815,9,182,1e-30,30
0.267831944444,9,111,1e-30,28
0.307617824074,9,15,1e-30,28
0.347403703704,9,98,1e-30,31
0.387189583333,9,113,1e-30,33
0.426975462963,9,94,1e-30,32
0.466761342593,9,106,1e-30,35
1.43040393519,5.5,58,32,30
1.43040393519,9,312,43,22
1.44076273148,16.7,969,202,61
1.44076273148,21.2,714,216,192
6.32085532407,5.5,199,10,30
6.32085532407,9,467,25,21
10.7002534722,5.5,320,17,12
11.2002534722,9,550,18,11
11.2055775463,16.7,712,27,20
11.2444955324,21.2,648,54,45
17.449849537,5.5,532,53,48
17.449849537,9,549,54,42
23.5174895833,0.81,-1,-1,25
23.6619542824,1.3,80,26,20
24.6667997685,3.1,185,26,22
23.3450462963,5.5,284,33,33
23.3450462963,9,376,5,38
54.2514699074,5.5,370,23,21
54.2514699074,9,188,19,17
75.1264699074,1.6,320,85,62
75.1264699074,2.6,413,53,46
75.1264699074,5.5,268,32,32
75.1264699074,9,164,20,25
130.042505787,1.3,219,23,26
130.042505787,3.1,148,15,15
128.969178241,5.5,143,10,7
128.969178241,9,98,7,6
161.766804398,1.6,-1,-1,21
161.766804398,2.6,167,34,15
157.594003472,5.5,116,14,9
157.594003472,9,86,7,7
